('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1055263 function calls (1027680 primitive calls) in 2.073 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1638    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1548    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1510    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1510    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1502    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1401    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     1350    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
 1313/207    0.005    0.000    0.058    0.000 _parser.py:452(_parse_sub)
     1275    0.001    0.000    0.008    0.000 filter.py:629(_match_attribute_value_helper)
     1174    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
     1098    0.000    0.000    0.001    0.000 enum.py:1575(_get_value)
     1040    0.000    0.000    0.001    0.000 _compiler.py:412(_simple)
      996    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      994    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      992    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      990    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      989    0.002    0.000    0.004    0.000 element.py:2068(_all_strings)
      953    0.001    0.000    0.001    0.000 _compiler.py:221(_compile_charset)
      953    0.005    0.000    0.007    0.000 _compiler.py:248(_optimize_charset)
      942    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      895    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1225(__enter__)
      895    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1229(__exit__)
      805    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      802    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
      801    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      797    0.000    0.000    0.000    0.000 element.py:2355(get)
      792    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      789    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      776    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      738    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      710    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      710    0.001    0.000    0.010    0.000 filter.py:618(_attribute_match)
      698    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
      692    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
  628/625    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      601    0.000    0.000    0.000    0.000 typing.py:1212(_is_dunder)
  593/588    0.007    0.000    0.048    0.000 {built-in method builtins.__build_class__}
      589    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(_path_importer_cache)
    569/6    0.000    0.000    0.242    0.040 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
      562    0.000    0.000    0.001    0.000 typing.py:1286(__setattr__)
      552    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      544    0.000    0.000    0.000    0.000 annotationlib.py:272(__eq__)
      541    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      519    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      496    0.002    0.000    0.002    0.000 css_types.py:41(__init__)
      494    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
      494    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      437    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:648(parent)
      427    0.000    0.000    0.001    0.000 enum.py:1145(__new__)
      427    0.000    0.000    0.001    0.000 enum.py:676(__call__)
      422    0.000    0.000    0.000    0.000 enum.py:46(_is_dunder)
      414    0.000    0.000    0.000    0.000 _compiler.py:587(isstring)
      411    0.000    0.000    0.000    0.000 socket.py:96(<lambda>)
      411    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      410    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      409    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      408    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      391    0.000    0.000    0.000    0.000 enum.py:810(__setattr__)
      390    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      388    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      388    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:429(_get_module_lock)
      388    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
      388    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      388    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      388    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      388    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      388    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      388    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      388    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
      388    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      384    0.000    0.000    0.000    0.000 enum.py:77(_is_private)
      384    0.000    0.000    0.000    0.000 enum.py:57(_is_sunder)
      370    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:635(cached)
      368    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      368    0.000    0.000    0.000    0.000 _compiler.py:442(_get_iscased)
      362    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      350    0.000    0.000    0.000    0.000 {method '__enter__' of 'memoryview' objects}
      350    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      349    0.000    0.000    0.000    0.000 socket.py:750(readable)
      348    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      348    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      348    0.001    0.000    1.200    0.003 socket.py:712(readinto)
      348    0.001    0.000    1.198    0.003 ssl.py:1289(recv_into)
      348    0.000    0.000    1.197    0.003 ssl.py:1129(read)
      348    1.197    0.003    1.197    0.003 {method 'read' of '_ssl._SSLSocket' objects}
      346    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:239(cache_from_source)
      346    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
      333    0.000    0.000    0.000    0.000 enum.py:36(_is_descriptor)
      328    0.002    0.000    0.103    0.000 __init__.py:330(_compile)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      325    0.000    0.000    0.102    0.000 __init__.py:287(compile)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      304    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      299    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      299    0.001    0.000    0.001    0.000 _compiler.py:400(_mk_bitmap)
      299    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      275    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      267    0.002    0.000    0.012    0.000 response.py:137(decompress)
      267    0.001    0.000    0.183    0.001 response.py:1368(read_chunked)
      267    0.000    0.000    0.183    0.001 response.py:1231(stream)
      267    0.000    0.000    0.184    0.001 models.py:816(generate)
      267    0.000    0.000    0.000    0.000 response.py:187(has_unconsumed_tail)
      266    0.000    0.000    0.013    0.000 response.py:619(_decode)
      266    0.010    0.000    0.010    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      260    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      257    0.000    0.000    0.000    0.000 hmac.py:21(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:22(<genexpr>)
      248    0.000    0.000    0.000    0.000 _compiler.py:33(_combine_flags)
      241    0.003    0.000    0.171    0.001 {method 'read' of '_io.BufferedReader' objects}
      236    0.000    0.000    0.000    0.000 typing.py:1355(__eq__)
  234/192    0.000    0.000    0.000    0.000 _compiler.py:450(_get_literal_prefix)
      230    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
    230/3    0.001    0.000    0.244    0.081 <frozen importlib._bootstrap>:1360(_find_and_load)
    229/3    0.001    0.000    0.244    0.081 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
      229    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:423(__exit__)
      229    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(__init__)
      229    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:419(__enter__)
      228    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      227    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      227    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
      227    0.000    0.000    0.000    0.000 _virtualenv.py:53(find_spec)
      227    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:448(cb)
      227    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:602(__init__)
      227    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:985(find_spec)
      227    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      221    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1131(find_spec)
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      220    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1255(_get_spec)
      220    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1284(find_spec)
      216    0.000    0.000    0.000    0.000 <frozen os>:790(decode)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:656(has_location)
      214    0.000    0.000    0.000    0.000 <frozen os>:727(__iter__)
      207    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      207    0.001    0.000    0.099    0.000 _compiler.py:757(compile)
      207    0.001    0.000    0.007    0.000 _compiler.py:525(_compile_info)
      207    0.001    0.000    0.059    0.000 _parser.py:963(parse)
      207    0.000    0.000    0.000    0.000 _parser.py:947(fix_flags)
      207    0.000    0.000    0.039    0.000 _compiler.py:590(_code)
      207    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      207    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      206    0.000    0.000    0.001    0.000 enum.py:1593(__and__)
    204/3    0.001    0.000    0.243    0.081 <frozen importlib._bootstrap>:914(_load_unlocked)
      204    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:736(_init_module_attrs)
  204/200    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:809(module_from_spec)
      202    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      199    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      197    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(spec_from_file_location)
      197    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1352(_get_spec)
      197    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      195    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
