('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1070353 function calls (1043105 primitive calls) in 2.346 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      496    0.002    0.000    0.002    0.000 css_types.py:41(__init__)
     2784    0.002    0.000    0.008    0.000 parser.py:93(_replace_attr_charref)
      356    0.002    0.000    1.496    0.004 sync.py:124(read)
     2414    0.002    0.000    0.005    0.000 financial_enhanced.py:82(<lambda>)
    282/7    0.002    0.000    0.300    0.043 <frozen importlib._bootstrap>:1360(_find_and_load)
     7022    0.001    0.000    0.002    0.000 _parser.py:176(append)
        2    0.001    0.001    0.023    0.011 element.py:1266(_find_all)
     1036    0.001    0.000    0.002    0.000 contextlib.py:108(__init__)
    281/6    0.001    0.000    0.300    0.050 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
     4229    0.001    0.000    0.002    0.000 element.py:2007(is_empty_element)
      310    0.001    0.000    0.004    0.000 _connection.py:272(_process_event)
       31    0.001    0.000    0.020    0.001 dataclasses.py:986(_process_class)
      281    0.001    0.000    0.003    0.000 typing.py:184(_type_check)
     3967    0.001    0.000    0.003    0.000 _htmlparser.py:222(handle_data)
      660    0.001    0.000    0.008    0.000 _connection.py:410(_extract_next_receive_event)
      438    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:239(cache_from_source)
     9025    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    13754    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     1036    0.001    0.000    0.003    0.000 contextlib.py:303(helper)
      482    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      134    0.001    0.000    0.003    0.000 _compiler.py:481(_get_charset_prefix)
      482    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:429(_get_module_lock)
     4130    0.001    0.000    0.002    0.000 __init__.py:1068(handle_data)
     8590    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      114    0.001    0.000    0.001    0.000 {method 'fullmatch' of 're.Pattern' objects}
      482    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
       47    0.001    0.000    0.001    0.000 functools.py:593(decorating_function)
       33    0.001    0.000    0.631    0.019 __init__.py:1(<module>)
     7967    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1035    0.001    0.000    0.002    0.000 contextlib.py:145(__exit__)
    13637    0.001    0.000    0.001    0.000 typing.py:2300(cast)
      249    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:736(_init_module_attrs)
      302    0.001    0.000    0.184    0.001 http11.py:196(_receive_response_body)
      269    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1255(_get_spec)
     7838    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     2414    0.001    0.000    0.006    0.000 filter.py:292(matches_string)
     1151    0.001    0.000    0.002    0.000 typing.py:1286(__setattr__)
    249/6    0.001    0.000    0.299    0.050 <frozen importlib._bootstrap>:914(_load_unlocked)
      220    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      710    0.001    0.000    0.008    0.000 filter.py:618(_attribute_match)
     3698    0.001    0.000    0.001    0.000 _parser.py:293(tell)
      213    0.001    0.000    0.006    0.000 _compiler.py:525(_compile_info)
     6721    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       13    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      213    0.001    0.000    0.093    0.000 _compiler.py:757(compile)
      744    0.001    0.000    0.001    0.000 _compiler.py:221(_compile_charset)
      242    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(spec_from_file_location)
      302    0.001    0.000    0.200    0.001 _models.py:884(iter_bytes)
     2784    0.001    0.000    0.006    0.000 __init__.py:122(unescape)
      219    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:947(get_data)
     5771    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     1694    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     4305    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      646    0.001    0.000    0.001    0.000 _receivebuffer.py:77(maybe_extract_at_most)
     4938    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
      310    0.001    0.000    0.001    0.000 _state.py:316(_fire_state_triggered_transitions)
     1131    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
      154    0.001    0.000    0.001    0.000 _compiler.py:400(_mk_bitmap)
     4230    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     4230    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      362    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
       31    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     2528    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       53    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     1036    0.001    0.000    0.001    0.000 contextlib.py:136(__enter__)
       13    0.001    0.000    0.004    0.000 enum.py:879(_convert_)
     3997    0.001    0.000    0.001    0.000 parser.py:193(clear_cdata_mode)
    219/6    0.001    0.000    0.299    0.050 <frozen importlib._bootstrap_external>:753(exec_module)
     4229    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      302    0.001    0.000    0.186    0.001 _models.py:935(iter_raw)
     4084    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      482    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
      124    0.001    0.000    0.001    0.000 enum.py:238(__set_name__)
      438    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      213    0.001    0.000    0.058    0.000 _parser.py:963(parse)
      578    0.001    0.000    0.001    0.000 enum.py:810(__setattr__)
